نام خودرو,وضعیت,سال,قیمت (تومان),قیمت عددی
هوندا سیویک مدل ۲۰۱۳,کارکرده,نامشخص,"1,860,000,000",1860000000
هوندا سیویک,کارکرده,نامشخص,"1,860,000,000",1860000000
هیوندای i20 مونتاژ کرمان موتور,صفر کیلومتر,نامشخص,"1,850,000,000",1850000000
سوزوکی سیاز,صفر کیلومتر,2024,"1,840,000,000",1840000000
سوزوکی ویتارا نیوفیس مونتاژ,کارکرده,نامشخص,"1,840,000,000",1840000000
کی ام سی A5,صفر کیلومتر,نامشخص,"1,830,000,000",1830000000
هایما S7 توربو,صفر کیلومتر,نامشخص,"1,816,000,000",1816000000
آمیکو آسنا توربو دنده ای,صفر کیلومتر,نامشخص,"1,802,000,000",1802000000
کاپرا یو (U),صفر کیلومتر,1404,"1,800,000,000",1800000000
بی ام و سری ۱ کروک,کارکرده,نامشخص,"1,790,000,000",1790000000
ام جی RX5,کارکرده,نامشخص,"1,790,000,000",1790000000
آمیکو آسنا,صفر کیلومتر,نامشخص,"1,780,000,000",1780000000
ام جی ۵,صفر کیلومتر,نامشخص,"1,780,000,000",1780000000
آمیکو آسنا دنده ای,صفر کیلومتر,نامشخص,"1,780,000,000",1780000000
هیوندای سوناتا YF مدل ۲۰۱۱-۲۰۱۵,کارکرده,نامشخص,"1,770,000,000",1770000000
کیا سراتو کوپه مدل ۲۰۱۵-۲۰۱۶,کارکرده,نامشخص,"1,760,000,000",1760000000
فردا T5,صفر کیلومتر,نامشخص,"1,755,000,000",1755000000
SWM G01,صفر کیلومتر,نامشخص,"1,750,000,000",1750000000
بستیون T77 پرو,صفر کیلومتر,نامشخص,"1,750,000,000",1750000000
اس دبلیو ام G01,صفر کیلومتر,1400,"1,750,000,000",1750000000
کیا اسپورتیج مدل ۲۰۱۱-۲۰۱۶,کارکرده,نامشخص,"1,740,000,000",1740000000
ولوو C30,کارکرده,نامشخص,"1,740,000,000",1740000000
رسپکت ۲,صفر کیلومتر,نامشخص,"1,733,000,000",1733000000
جک S5 جدید,صفر کیلومتر,نامشخص,"1,720,000,000",1720000000
میتسوبیشی ASX مدل ۲۰۱۲-۲۰۱۶,کارکرده,2012,"1,700,000,000",1700000000
میتسوبیشی ASX,کارکرده,نامشخص,"1,700,000,000",1700000000
هن تنگ X7,کارکرده,نامشخص,"1,690,000,000",1690000000
هیوندای جنسیس کوپه مدل ۲۰۱۰-۲۰۱۲,کارکرده,نامشخص,"1,690,000,000",1690000000
هیوندای جنسیس کوپه,کارکرده,نامشخص,"1,690,000,000",1690000000
تویوتا سولارا,کارکرده,2007,"1,690,000,000",1690000000
ریرا,صفر کیلومتر,نامشخص,"1,655,000,000",1655000000
جی ام سی s350,صفر کیلومتر,1399,"1,650,000,000",1650000000
هایما S5 CVT,صفر کیلومتر,1400,"1,647,000,000",1647000000
هایما S5,صفر کیلومتر,1400,"1,647,000,000",1647000000
سانگ یانگ رکستون مدل ۲۰۱۰-۲۰۱۳,کارکرده,نامشخص,"1,640,000,000",1640000000
سانگ یانگ رکستون مدل ۲۰۱۰-۲۰۱۲,کارکرده,نامشخص,"1,640,000,000",1640000000
کلوت دنده ای,صفر کیلومتر,نامشخص,"1,640,000,000",1640000000
هیوندای توسان مدل ۲۰۱۱-۲۰۱۵,کارکرده,نامشخص,"1,640,000,000",1640000000
تویوتا یاریس سدان مدل ۲۰۱۴-۲۰۱۶,کارکرده,نامشخص,"1,630,000,000",1630000000
تویوتا یاریس هاچبک مدل ۲۰۱۵-۲۰۱۶,کارکرده,نامشخص,"1,630,000,000",1630000000
رنو ساندرو استپ وی,صفر کیلومتر,نامشخص,"1,620,000,000",1620000000
کامیونت فورس بهمن دیزل,صفر کیلومتر,نامشخص,"1,620,000,000",1620000000
دایون Y5,صفر کیلومتر,نامشخص,"1,610,000,000",1610000000
DS3,کارکرده,نامشخص,"1,610,000,000",1610000000
نیسان سانی,صفر کیلومتر,نامشخص,"1,600,000,000",1600000000
بنز ون ویتو,کارکرده,2007,"1,600,000,000",1600000000
فیات ۵۰۰ مدل ۲۰۱۴-۲۰۱۵,کارکرده,2014,"1,600,000,000",1600000000
نیسان مورانو مدل ۲۰۰۹-۲۰۱۲,کارکرده,نامشخص,"1,590,000,000",1590000000
نیسان تینا وارداتی,کارکرده,نامشخص,"1,590,000,000",1590000000
نیسان تینا مونتاژ,کارکرده,نامشخص,"1,590,000,000",1590000000
کیا سراتو مدل ۲۰۱۳-۲۰۱۶,کارکرده,نامشخص,"1,590,000,000",1590000000
کی ام سی SR3,صفر کیلومتر,1404,"1,570,000,000",1570000000
رسپکت پرایم,صفر کیلومتر,نامشخص,"1,553,000,000",1553000000
رسپکت,صفر کیلومتر,1402,"1,553,000,000",1553000000
یواز پاتریوت,صفر کیلومتر,نامشخص,"1,550,000,000",1550000000
جک S5,صفر کیلومتر,1400,"1,548,000,000",1548000000
بورگوارد BX5,کارکرده,نامشخص,"1,540,000,000",1540000000
هیوندای النترا مدل ۲۰۱۳-۲۰۱۶,کارکرده,نامشخص,"1,540,000,000",1540000000
اوپل آسترا سدان مدل ۲۰۱۴,کارکرده,1400,"1,540,000,000",1540000000
تیگارد X35,صفر کیلومتر,نامشخص,"1,530,000,000",1530000000
رنو ساندرو,صفر کیلومتر,نامشخص,"1,529,000,000",1529000000
کاپرا ۲,صفر کیلومتر,نامشخص,"1,515,000,000",1515000000
یواز پیکاپ,صفر کیلومتر,1400,"1,500,000,000",1500000000
کامیونت شیلر ۶ تن,صفر کیلومتر,1402,"1,500,000,000",1500000000
هونگچی E -QM5,صفر کیلومتر,نامشخص,"1,500,000,000",1500000000
کیا سورنتو مدل ۲۰۰۸-۲۰۰۹,کارکرده,نامشخص,"1,492,000,000",1492000000
ام جی GS,کارکرده,نامشخص,"1,492,000,000",1492000000
هن تنگ X5,کارکرده,نامشخص,"1,492,000,000",1492000000
رنو سفران,کارکرده,نامشخص,"1,492,000,000",1492000000
اس دبلیو ام G01f,صفر کیلومتر,1400,"1,472,000,000",1472000000
سانگ یانگ کوراندو مدل ۲۰۱۵-۲۰۱۷,کارکرده,نامشخص,"1,442,000,000",1442000000
بی ام و X3 مدل ۲۰۰۵-۲۰۱۰,کارکرده,نامشخص,"1,442,000,000",1442000000
پیکاپ زاگرس,صفر کیلومتر,نامشخص,"1,440,000,000",1440000000
رنو تندر ۹۰ پلاس,صفر کیلومتر,1399,"1,437,000,000",1437000000
کیا اپیروس,کارکرده,نامشخص,"1,412,000,000",1412000000
چری تیگو ۷,صفر کیلومتر,نامشخص,"1,410,000,000",1410000000
لیفان x70,صفر کیلومتر,نامشخص,"1,410,000,000",1410000000
کیا کارنیوال,کارکرده,نامشخص,"1,402,000,000",1402000000
زوتی DL5,صفر کیلومتر,2024,"1,400,000,000",1400000000
هاوال H2,صفر کیلومتر,نامشخص,"1,400,000,000",1400000000
ون وانا,صفر کیلومتر,1402,"1,400,000,000",1400000000
کیا سول مدل ۲۰۱۲-۲۰۱۳,کارکرده,نامشخص,"1,395,000,000",1395000000
هیوندای سانتافه مدل ۲۰۰۷-۲۰۱۲,کارکرده,نامشخص,"1,392,000,000",1392000000
کیا ریو صندوقدار مدل ۲۰۱۵-۲۰۱۷,کارکرده,نامشخص,"1,392,000,000",1392000000
کیا ریو هاچبک مدل ۲۰۱۵-۲۰۱۷,کارکرده,نامشخص,"1,392,000,000",1392000000
کی ام سی EJ7,صفر کیلومتر,نامشخص,"1,390,000,000",1390000000
چری آریزو ۵ نیو,صفر کیلومتر,نامشخص,"1,385,000,000",1385000000
بنز C کلاس مدل ۲۰۰۵-۲۰۰۷,کارکرده,نامشخص,"1,372,000,000",1372000000
جک S3,صفر کیلومتر,نامشخص,"1,360,000,000",1360000000
برلیانس H2L ون,کارکرده,1396,"1,350,000,000",1350000000
هیوندای ولستر,کارکرده,نامشخص,"1,342,000,000",1342000000
رنو فلوئنس مدل ۲۰۱۵-۲۰۱۷,کارکرده,2015,"1,342,000,000",1342000000
نیسان مورانو مدل ۲۰۰۸,کارکرده,نامشخص,"1,342,000,000",1342000000
سانگ یانگ اکتیون مدل ۲۰۱۴-۲۰۱۵,کارکرده,نامشخص,"1,342,000,000",1342000000
بی ام و سری ۵ مدل ۲۰۰۵-۲۰۱۰,کارکرده,نامشخص,"1,342,000,000",1342000000
چانگان CS35,صفر کیلومتر,نامشخص,"1,329,000,000",1329000000
تویوتا کمری مدل ۲۰۰۷-۲۰۱۱,کارکرده,نامشخص,"1,312,000,000",1312000000
تویوتا کرولا مدل ۲۰۰۸-۲۰۱۳,کارکرده,نامشخص,"1,302,000,000",1302000000
لونا GRE برقی,صفر کیلومتر,1403,"1,300,000,000",1300000000
ام وی ام X33 کراس,صفر کیلومتر,نامشخص,"1,296,000,000",1296000000
سانگ یانگ کایرون,کارکرده,نامشخص,"1,292,000,000",1292000000
هاوال H6,کارکرده,نامشخص,"1,272,000,000",1272000000
برلیانس H330,صفر کیلومتر,نامشخص,"1,265,000,000",1265000000
رنو اسکالا مدل ۲۰۱۳-۲۰۱۴,کارکرده,2015,"1,262,000,000",1262000000
بستیون NAT,صفر کیلومتر,نامشخص,"1,255,000,000",1255000000
شاهین پلاس,صفر کیلومتر,نامشخص,"1,253,000,000",1253000000
برلیانس H320,صفر کیلومتر,نامشخص,"1,253,000,000",1253000000
کیا سراتو کوپه مدل ۲۰۱۰-۲۰۱۳,کارکرده,نامشخص,"1,252,000,000",1252000000
دنا پلاس توربو اتوماتیک آپشنال,صفر کیلومتر,نامشخص,"1,250,000,000",1250000000
بسترن B30,صفر کیلومتر,1400,"1,248,000,000",1248000000
بی ام و سری ۳ سدان مدل ۲۰۰۷-۲۰۱۱,کارکرده,نامشخص,"1,242,000,000",1242000000
رنو کولیوس مدل ۲۰۱۲-۲۰۱۳,کارکرده,نامشخص,"1,242,000,000",1242000000
کوپا توربو T210,کارکرده,نامشخص,"1,242,000,000",1242000000
میتسوبیشی پاجرو مونتاژ,کارکرده,نامشخص,"1,242,000,000",1242000000
رنو کپچر,کارکرده,نامشخص,"1,242,000,000",1242000000
تارا اتوماتیک,صفر کیلومتر,نامشخص,"1,230,000,000",1230000000
چری آریزو ۵ توربو,صفر کیلومتر,نامشخص,"1,225,000,000",1225000000
کیا اپتیما مدل ۲۰۰۹-۲۰۱۰,کارکرده,نامشخص,"1,222,000,000",1222000000
اوپل آسترا هاچبک,کارکرده,1400,"1,212,000,000",1212000000
تویوتا کمری مدل ۲۰۰۵-۲۰۰۶,کارکرده,2006,"1,212,000,000",1212000000
چری تیگو ۵,صفر کیلومتر,1400,"1,210,000,000",1210000000
رنو پارس تندر,صفر کیلومتر,نامشخص,"1,208,000,000",1208000000
کیا پیکانتو مدل ۲۰۱۶-۲۰۱۷,کارکرده,نامشخص,"1,202,000,000",1202000000
تویوتا یاریس هاچبک مدل ۲۰۱۲-۲۰۱۴,کارکرده,1300,"1,202,000,000",1202000000
چری آریزو ۶,صفر کیلومتر,1400,"1,200,000,000",1200000000
فولکس واگن ترنسپورتر,کارکرده,2004,"1,200,000,000",1200000000
رنو کولیوس مدل ۲۰۱۱-۲۰۱۵,کارکرده,نامشخص,"1,192,000,000",1192000000
رنو فلوئنس,کارکرده,نامشخص,"1,192,000,000",1192000000
رنو کولیوس مدل ۲۰۱۱,کارکرده,نامشخص,"1,192,000,000",1192000000
رنو فلوئنس مدل ۲۰۱۲-۲۰۱۴,کارکرده,2012,"1,192,000,000",1192000000
بایک سنوا,کارکرده,نامشخص,"1,192,000,000",1192000000
پژو ۲۰۷ اتوماتیک سقف شیشه,صفر کیلومتر,نامشخص,"1,188,000,000",1188000000
رنو تندر ۹۰ دنده ای,صفر کیلومتر,1398,"1,183,000,000",1183000000
پیکاپ کارون,صفر کیلومتر,نامشخص,"1,183,000,000",1183000000
رنو داستر,کارکرده,نامشخص,"1,182,000,000",1182000000
رنو اسکالا مدل ۲۰۱۵-۲۰۱۶,کارکرده,نامشخص,"1,172,000,000",1172000000
هیوندای توسان مدل ۲۰۰۷-۲۰۱۰,کارکرده,نامشخص,"1,162,000,000",1162000000
آلفارومئو جولیتا,کارکرده,نامشخص,"1,162,000,000",1162000000
نیسان رونیز,کارکرده,نامشخص,"1,162,000,000",1162000000
کی ام سی ایگل,صفر کیلومتر,نامشخص,"1,160,000,000",1160000000
ام وی ام X22 پرو,صفر کیلومتر,نامشخص,"1,150,000,000",1150000000
میتسوبیشی میراژ مدل ۲۰۱۷-۲۰۱۸,صفر کیلومتر,2018,"1,150,000,000",1150000000
هیوندای i20 مدل ۲۰۱۳-۲۰۱۵,کارکرده,نامشخص,"1,142,000,000",1142000000
رنو اسکالا,کارکرده,نامشخص,"1,142,000,000",1142000000
کیا اسپورتیج مدل ۲۰۰۸-۲۰۱۰,کارکرده,نامشخص,"1,142,000,000",1142000000
مزدا ۳ نیو هاچبک,کارکرده,نامشخص,"1,142,000,000",1142000000
هیوندای آزرا مدل ۲۰۰۶-۲۰۱۱,کارکرده,نامشخص,"1,142,000,000",1142000000
نیسان قشقایی مونتاژ,کارکرده,نامشخص,"1,137,000,000",1137000000
هیوندای سوناتا مدل ۲۰۰۶-۲۰۱۰,کارکرده,نامشخص,"1,112,000,000",1112000000
آلفارومئو میتو,کارکرده,نامشخص,"1,112,000,000",1112000000
هیوندای اکسنت مدل ۲۰۱۴-۲۰۱۷,کارکرده,نامشخص,"1,092,000,000",1092000000
سوزوکی کیزاشی,کارکرده,نامشخص,"1,092,000,000",1092000000
بی ام و سری ۳ سدان مدل ۲۰۰۵-۲۰۰۶,کارکرده,نامشخص,"1,092,000,000",1092000000
دنا پلاس توربو اتوماتیک,صفر کیلومتر,نامشخص,"1,086,000,000",1086000000
پژو ۳۰۱,کارکرده,نامشخص,"1,082,000,000",1082000000
پژو ۲۰۷ اتوماتیک ۶ سرعته,صفر کیلومتر,نامشخص,"1,080,000,000",1080000000
جک J4,صفر کیلومتر,1401,"1,077,000,000",1077000000
کیا سراتو مدل ۲۰۱۰-۲۰۱۳,کارکرده,نامشخص,"1,072,000,000",1072000000
سوزوکی ویتارا ۲.۴ لیتری,کارکرده,نامشخص,"1,052,000,000",1052000000
کیا کارنز مدل ۲۰۰۸-۲۰۱۰,کارکرده,نامشخص,"1,052,000,000",1052000000
ام وی ام X33 S,صفر کیلومتر,1400,"1,050,000,000",1050000000
اوپل کورسا مدل ۲۰۱۳-۲۰۱۴,کارکرده,نامشخص,"1,042,000,000",1042000000
بی وای دی S6,کارکرده,نامشخص,"1,032,000,000",1032000000
سوزوکی ویتارا وارداتی,کارکرده,نامشخص,"1,032,000,000",1032000000
سوزوکی ویتارا مونتاژ,کارکرده,نامشخص,"1,032,000,000",1032000000
پژو پارس LX,صفر کیلومتر,1403,"1,030,000,000",1030000000
وانت کارا,صفر کیلومتر,نامشخص,"1,020,000,000",1020000000
پژو ۲۰۷ سقف فلز,صفر کیلومتر,1402,"1,015,000,000",1015000000
پژو ۲۰۷ صندوقدار,صفر کیلومتر,1399,"1,015,000,000",1015000000
پژو ۲۰۷ اتوماتیک ۴ سرعته,صفر کیلومتر,نامشخص,"1,015,000,000",1015000000
هیوندای i30,کارکرده,نامشخص,"1,012,000,000",1012000000
ام وی ام X33 S اسپرت,صفر کیلومتر,نامشخص,"1,012,000,000",1012000000
نیسان قشقایی,کارکرده,نامشخص,"1,012,000,000",1012000000
پادرا پلاس,صفر کیلومتر,1402,"1,011,000,000",1011000000
ام وی ام X33 S CVT,صفر کیلومتر,1401,"1,005,000,000",1005000000
نیسان سرانزا,کارکرده,نامشخص,"1,002,000,000",1002000000
فوتون تونلند,صفر کیلومتر,نامشخص,"1,000,000,000",1000000000
نیسان نیو پیکاپ,کارکرده,نامشخص,"995,000,000",995000000
کیا سراتو سایپا ۱.۶ لیتری (آپشنال و ساده),کارکرده,نامشخص,"995,000,000",995000000
هیوندای i10,کارکرده,نامشخص,"995,000,000",995000000
پژو پارس سفارشی ELX با موتور TU5,صفر کیلومتر,1401,"988,000,000",988000000
پژو پارس ELX,صفر کیلومتر,نامشخص,"988,000,000",988000000
سوبارو فارستر,کارکرده,نامشخص,"985,000,000",985000000
هایما S7,کارکرده,نامشخص,"985,000,000",985000000
ام وی ام x55,صفر کیلومتر,نامشخص,"985,000,000",985000000
دنا پلاس توربو ۶ دنده دستی,صفر کیلومتر,نامشخص,"982,000,000",982000000
شاهین اتوماتیک CVT,صفر کیلومتر,نامشخص,"981,500,000",981500000
گک گونو GX5,کارکرده,نامشخص,"975,000,000",975000000
سیتروئن C5 مدل ۲۰۰۸-۲۰۱۲,کارکرده,نامشخص,"965,000,000",965000000
ام جی GT,کارکرده,نامشخص,"965,000,000",965000000
نیسان وانت زامیاد دیزلی,صفر کیلومتر,نامشخص,"964,000,000",964000000
پژو پارس LX سفارشی TU5,صفر کیلومتر,نامشخص,"963,000,000",963000000
دنا پلاس توربو ۵ دنده دستی,صفر کیلومتر,نامشخص,"957,000,000",957000000
دنا پلاس توربو,صفر کیلومتر,1401,"957,000,000",957000000
پژو پارس سال سفارشی ELX با موتور XU7P,صفر کیلومتر,نامشخص,"950,000,000",950000000
آریو S300,صفر کیلومتر,1400,"950,000,000",950000000
سانگ یانگ اکتیون,کارکرده,نامشخص,"945,000,000",945000000
بیسو T3,کارکرده,نامشخص,"945,000,000",945000000
سانگ یانگ اکتیون مدل ۲۰۱۰-۲۰۱۳,کارکرده,نامشخص,"945,000,000",945000000
ب ام و سری ۱ هاچبک مدل ۲۰۰۷-۲۰۱۱,کارکرده,نامشخص,"945,000,000",945000000
ام جی ۳۶۰,کارکرده,نامشخص,"935,000,000",935000000
کیا پیکانتو مدل ۲۰۱۲-۲۰۱۷,کارکرده,نامشخص,"935,000,000",935000000
کیا پیکانتو مدل ۲۰۱۲-۲۰۱۵,کارکرده,نامشخص,"935,000,000",935000000
تارا,صفر کیلومتر,نامشخص,"926,000,000",926000000
هیوندای i20 مدل ۲۰۱۱-۲۰۱۲,کارکرده,نامشخص,"925,000,000",925000000
گک ترامپچی GA3S,کارکرده,نامشخص,"925,000,000",925000000
سورن پلاس دوگانه سوز,صفر کیلومتر,نامشخص,"924,000,000",924000000
برلیانس C3 کراس ۱.۶۵,صفر کیلومتر,1399,"920,000,000",920000000
شاهین,صفر کیلومتر,نامشخص,"918,000,000",918000000
سوزوکی ویتارا ۲ لیتری,کارکرده,نامشخص,"910,000,000",910000000
پژو ۲۰۷ دنده ای,صفر کیلومتر,نامشخص,"905,000,000",905000000
پژو ۲۰۷ MC,صفر کیلومتر,نامشخص,"905,000,000",905000000
ون اینرودز c35,صفر کیلومتر,نامشخص,"903,000,000",903000000
پژو پارس سال XU7P,صفر کیلومتر,نامشخص,"900,000,000",900000000
گک گونو ترامپچی GS5,کارکرده,2015,"900,000,000",900000000
لیفان ۸۲۰,کارکرده,نامشخص,"895,000,000",895000000
بنز B کلاس,کارکرده,نامشخص,"895,000,000",895000000
سورن پلاس,صفر کیلومتر,نامشخص,"888,000,000",888000000
سورن پلاس EF7 بنزینی,صفر کیلومتر,نامشخص,"888,000,000",888000000
پژو پارس سال سفارشی XU7P,صفر کیلومتر,نامشخص,"887,000,000",887000000
دنا پلاس,صفر کیلومتر,1401,"886,000,000",886000000
ام وی ام X22,صفر کیلومتر,1402,"882,000,000",882000000
تویوتا یاریس هاچبک مدل ۲۰۰۸-۲۰۰۹,کارکرده,1300,"875,000,000",875000000
تویوتا یاریس سدان مدل ۲۰۰۸-۲۰۱۰,کارکرده,1300,"875,000,000",875000000
ام جی ۶,کارکرده,نامشخص,"875,000,000",875000000
رنو سیمبل,کارکرده,نامشخص,"875,000,000",875000000
پژو ۲۰۷ هاچبک دنده ای سقف شیشه,صفر کیلومتر,1402,"859,000,000",859000000
پژو ۲۰۷ سقف شیشه,صفر کیلومتر,1402,"859,000,000",859000000
سانگ یانگ کوراندو دو در (بن رو),کارکرده,نامشخص,"855,000,000",855000000
لندمارک V7,کارکرده,نامشخص,"855,000,000",855000000
نیسان وانت زامیاد دوگانه سوز,صفر کیلومتر,نامشخص,"853,000,000",853000000
ون ایویکو,کارکرده,1391,"850,000,000",850000000
پاژن هرور,کارکرده,1393,"850,000,000",850000000
جیلی امگرند X7,کارکرده,نامشخص,"845,000,000",845000000
بنز A کلاس,کارکرده,نامشخص,"845,000,000",845000000
نیسان ماکسیما,کارکرده,نامشخص,"825,000,000",825000000
نیسان وانت زامیاد بنزینی,صفر کیلومتر,نامشخص,"806,000,000",806000000
نیسان وانت زامیاد,صفر کیلومتر,نامشخص,"806,000,000",806000000
پژو پارس دوگانه سوز,صفر کیلومتر,نامشخص,"806,000,000",806000000
دانگ فنگ H30 کراس,صفر کیلومتر,نامشخص,"800,000,000",800000000
دنا,صفر کیلومتر,نامشخص,"797,000,000",797000000
سانگ یانگ چیرمن,کارکرده,نامشخص,"795,000,000",795000000
هیوندای کوپه,کارکرده,نامشخص,"795,000,000",795000000
سوبارو لگاسی,کارکرده,نامشخص,"795,000,000",795000000
سمند LX EF7 پایه گازسوز,صفر کیلومتر,نامشخص,"791,000,000",791000000
پژو ۲۰۷ موتور TU3,صفر کیلومتر,نامشخص,"790,000,000",790000000
رانا پلاس سقف شیشه,صفر کیلومتر,نامشخص,"787,000,000",787000000
پژو ۲۰۷ تیپ ۵,صفر کیلومتر,نامشخص,"786,000,000",786000000
بسترن B50F,کارکرده,نامشخص,"785,000,000",785000000
پیکاپ ریچ,کارکرده,نامشخص,"785,000,000",785000000
سورن پلاس XU7P,صفر کیلومتر,نامشخص,"783,000,000",783000000
کیا سراتو مدل ۲۰۰۸-۲۰۰۹,کارکرده,نامشخص,"775,000,000",775000000
لوکسژن U6,صفر کیلومتر,1400,"770,000,000",770000000
برلیانس V5,کارکرده,نامشخص,"765,000,000",765000000
پژو ۲۰۶ صندوقدار V8,صفر کیلومتر,1400,"762,000,000",762000000
پژو ۲۰۶ صندوقدار,صفر کیلومتر,نامشخص,"762,000,000",762000000
سمند LX EF7 بنزینی,صفر کیلومتر,نامشخص,"754,000,000",754000000
گک گونو G5,کارکرده,2013,"750,000,000",750000000
پژو پارس سال,صفر کیلومتر,1403,"747,000,000",747000000
مزدا ۲,کارکرده,نامشخص,"747,000,000",747000000
پژو پارس سال معمولی XU7,صفر کیلومتر,نامشخص,"747,000,000",747000000
چانگان ایدو,کارکرده,نامشخص,"747,000,000",747000000
پژو ۴۰۷,کارکرده,نامشخص,"737,000,000",737000000
دانگ فنگ S30,کارکرده,نامشخص,"732,000,000",732000000
بی وای دی F3,کارکرده,نامشخص,"732,000,000",732000000
سمند LX,صفر کیلومتر,نامشخص,"731,000,000",731000000
سمند LX XU7,صفر کیلومتر,نامشخص,"731,000,000",731000000
گریت وال وینگل ۵,کارکرده,نامشخص,"727,000,000",727000000
میتسوبیشی میراژ,کارکرده,نامشخص,"727,000,000",727000000
میتسوبیشی میراژ مدل ۲۰۱۵-۲۰۱۶,کارکرده,نامشخص,"727,000,000",727000000
پژو ۴۰۵ SLX,صفر کیلومتر,1400,"726,000,000",726000000
پژو ۲۰۶ تیپ ۵,صفر کیلومتر,1381,"726,000,000",726000000
نیسان پیکاپ,کارکرده,نامشخص,"717,000,000",717000000
هیوندای آوانته,کارکرده,نامشخص,"717,000,000",717000000
پژو ۴۰۵ GLX دوگانه سوز,صفر کیلومتر,1389,"716,000,000",716000000
رانا پلاس,صفر کیلومتر,1402,"714,000,000",714000000
تویوتا کرولا مدل ۲۰۰۵-۲۰۰۷,کارکرده,نامشخص,"707,000,000",707000000
پژو ۲۰۶ تیپ ۳ سقف شیشه ای پانوراما,صفر کیلومتر,نامشخص,"705,000,000",705000000
ام وی ام ۳۱۵ پلاس,صفر کیلومتر,1400,"700,000,000",700000000
ام جی ۵۵۰,کارکرده,نامشخص,"698,000,000",698000000
چری آریزو ۵,کارکرده,نامشخص,"697,000,000",697000000
پژو ۴۰۵ GLX بنزینی,صفر کیلومتر,نامشخص,"696,000,000",696000000
پژو ۴۰۵ GLX,صفر کیلومتر,نامشخص,"696,000,000",696000000
بسترن B50,کارکرده,نامشخص,"687,000,000",687000000
مزدا ۳,کارکرده,نامشخص,"687,000,000",687000000
بایک X25,صفر کیلومتر,1400,"677,000,000",677000000
برلیانس C3 کراس ۱.۵,کارکرده,نامشخص,"667,000,000",667000000
برلیانس C3 کراس,کارکرده,نامشخص,"667,000,000",667000000
پژو ۲۰۶,صفر کیلومتر,نامشخص,"662,000,000",662000000
پژو ۲۰۶ تیپ ۲,صفر کیلومتر,نامشخص,"662,000,000",662000000
ساینا S اتوماتیک,صفر کیلومتر,نامشخص,"660,000,000",660000000
ام وی ام X33 جدید,کارکرده,نامشخص,"657,000,000",657000000
رنو تندر ۹۰ اتوماتیک,کارکرده,نامشخص,"652,000,000",652000000
ساینا S دوگانه سوز,صفر کیلومتر,نامشخص,"651,000,000",651000000
شورولت کامارو,کارکرده,نامشخص,"650,000,000",650000000
آریسان ۲,صفر کیلومتر,نامشخص,"650,000,000",650000000
سهند,صفر کیلومتر,نامشخص,"649,000,000",649000000
اطلس,صفر کیلومتر,نامشخص,"649,000,000",649000000
هاوال M4,کارکرده,نامشخص,"647,000,000",647000000
ام جی ۳۵۰,کارکرده,نامشخص,"647,000,000",647000000
سانگ یانگ موسو,کارکرده,نامشخص,"647,000,000",647000000
جیلی GC6 فیس جدید,صفر کیلومتر,1398,"640,000,000",640000000
ساینا GX,صفر کیلومتر,نامشخص,"630,000,000",630000000
سیتروئن C5 مدل ۲۰۰۵-۲۰۰۷,کارکرده,نامشخص,"617,000,000",617000000
بنز ون mb140,کارکرده,1380,"600,000,000",600000000
ام جی ۳,کارکرده,نامشخص,"597,000,000",597000000
رانا,صفر کیلومتر,1402,"570,000,000",570000000
برلیانس H230,صفر کیلومتر,1399,"570,000,000",570000000
رانا معمولی,صفر کیلومتر,نامشخص,"570,000,000",570000000
جیلی GC6,کارکرده,نامشخص,"567,000,000",567000000
جیلی GC6 فیس قدیم,کارکرده,1396,"567,000,000",567000000
کاپرا,کارکرده,نامشخص,"567,000,000",567000000
کوییک GXR,صفر کیلومتر,نامشخص,"566,000,000",566000000
کوییک GX,صفر کیلومتر,نامشخص,"559,000,000",559000000
جیلی امگرند ۷,کارکرده,نامشخص,"547,000,000",547000000
جیلی EC7-RV,کارکرده,نامشخص,"547,000,000",547000000
کوییک SR,صفر کیلومتر,نامشخص,"540,000,000",540000000
ساینا S دنده ای,صفر کیلومتر,نامشخص,"537,000,000",537000000
رنو مگان مونتاژ,کارکرده,نامشخص,"537,000,000",537000000
کوییک R پلاس اتوماتیک,صفر کیلومتر,نامشخص,"536,000,000",536000000
ساینا S,صفر کیلومتر,نامشخص,"535,000,000",535000000
پاژن دوکابین مدل ۸۵-۹۰,کارکرده,1384,"532,000,000",532000000
پاژن دوکابین,کارکرده,نامشخص,"532,000,000",532000000
جک J5,کارکرده,نامشخص,"527,000,000",527000000
رنو تندر پیکاپ,کارکرده,نامشخص,"527,000,000",527000000
رنو مگان وارداتی,کارکرده,نامشخص,"527,000,000",527000000
ساینا,صفر کیلومتر,1401,"513,000,000",513000000
کوییک S,صفر کیلومتر,نامشخص,"499,000,000",499000000
کوییک r,صفر کیلومتر,نامشخص,"497,000,000",497000000
کوییک,صفر کیلومتر,نامشخص,"495,000,000",495000000
لیفان X60,کارکرده,نامشخص,"488,000,000",488000000
تیبا هاچبک,صفر کیلومتر,1401,"487,000,000",487000000
تیبا ۲,صفر کیلومتر,1401,"487,000,000",487000000
تیبا صندوقدار بنزینی,صفر کیلومتر,1401,"482,000,000",482000000
تیبا صندوقدار,صفر کیلومتر,1401,"482,000,000",482000000
تیبا ۲ پلاس,صفر کیلومتر,1400,"482,000,000",482000000
گریت وال ولکس C30,کارکرده,نامشخص,"478,000,000",478000000
