نام خودرو,وضعیت,سال,قیمت (تومان),قیمت عددی
میتسوبیشی اوتلندر مدل ۲۰۱۶-۲۰۱۸,صفر کیلومتر,2018,"5,450,000,000",5450000000
بنز S کلاس مدل ۲۰۰۶-۲۰۰۸,کارکرده,نامشخص,"5,420,000,000",5420000000
کیا اسپورتیج توربو ۲۰۲۴,صفر کیلومتر,نامشخص,"5,400,000,000",5400000000
بی ام و X6 مدل ۲۰۱۰-۲۰۱۳,کارکرده,نامشخص,"5,370,000,000",5370000000
نیسان ایکس تریل مدل ۲۰۱۶-۲۰۱۸,صفر کیلومتر,2018,"5,300,000,000",5300000000
DS7,کارکرده,نامشخص,"5,250,000,000",5250000000
اکستریم VX,صفر کیلومتر,نامشخص,"5,250,000,000",5250000000
بنز CL,کارکرده,نامشخص,"5,170,000,000",5170000000
لکسوس LS,کارکرده,نامشخص,"5,070,000,000",5070000000
پورشه کیمن S مدل ۲۰۱۰-۲۰۱۱,کارکرده,نامشخص,"5,070,000,000",5070000000
تویوتا CHR,صفر کیلومتر,نامشخص,"5,000,000,000",5000000000
بی ام و سری ۴ کوپه و کروک,کارکرده,نامشخص,"4,975,000,000",4975000000
مینی کوپر مدل ۲۰۱۲-۲۰۱۳,کارکرده,نامشخص,"4,975,000,000",4975000000
هیوندای سوناتا هیبرید نیوفیس,صفر کیلومتر,نامشخص,"4,890,000,000",4890000000
بی ام و سری ۳ GT,کارکرده,نامشخص,"4,875,000,000",4875000000
بی ام و X3 مدل ۲۰۱۵-۲۰۱۷,صفر کیلومتر,2017,"4,875,000,000",4875000000
آئودی Q5,کارکرده,نامشخص,"4,825,000,000",4825000000
فولکس واگن ID.UNYX,صفر کیلومتر,2024,"4,800,000,000",4800000000
لکسوس ES مدل ۲۰۱۳-۲۰۱۵,کارکرده,نامشخص,"4,775,000,000",4775000000
رنو کولیوس مدل ۲۰۱۶-۲۰۱۸,صفر کیلومتر,2018,"4,700,000,000",4700000000
نیسان ترا,صفر کیلومتر,1403,"4,700,000,000",4700000000
پورشه کاین مدل ۲۰۰۹-۲۰۱۰,کارکرده,نامشخص,"4,675,000,000",4675000000
مزدا CX-30,صفر کیلومتر,2024,"4,635,000,000",4635000000
میتسوبیشی اوتلندر,صفر کیلومتر,2018,"4,600,000,000",4600000000
لکسوس RX مدل ۲۰۱۰-۲۰۱۳,کارکرده,نامشخص,"4,575,000,000",4575000000
هیوندای توسان ۲۰۲۳,صفر کیلومتر,2023,"4,550,000,000",4550000000
آئودی Q5 ای ترون,صفر کیلومتر,نامشخص,"4,490,000,000",4490000000
لکسوس GS مدل ۲۰۱۴-۲۰۱۵,کارکرده,نامشخص,"4,475,000,000",4475000000
رنو تالیسمان,صفر کیلومتر,2018,"4,400,000,000",4400000000
